,0
767,0.35672485444773233
811,0.10604713247249543
848,0.23091908596579136
888,0.07547191566456986
1050,0.133795179750598
1053,0.03224106635486961
1062,0.0829861212087095
1063,0.02911329046913898
1079,0.20035910300250195
1847,0.3198558030899296
1887,0.028620521839171874
1926,0.1222871454869449
2008,0.029840256052056074
2118,0.022285815497137026
2120,0.021565710442426014
2126,0.03053247620658728
2133,0.043511910267193685
2145,0.12298385745353185
2901,0.143722051934506
2939,0.010821976195422793
2988,0.21355430125727884
3069,0.028749905805734357
3182,0.010522678054946015
3185,0.04361552471192009
3190,0.017706079738816268
3195,0.03234958111462946
3209,0.21594224085969885
3963,0.27193542311829083
4000,0.015287424669768002
4085,0.2688637991227309
4128,0.04922387809058154
4244,0.034729722371093834
4246,0.06474887317804802
4252,0.031054312997697568
4259,0.08664030479851184
4271,0.2111621600633274
5046,0.22962608445516225
5084,0.033005458994140924
5166,0.19894122427507696
5212,0.06752898969657388
5324,0.02030271409948291
5329,0.0702404026248099
5334,0.061083302614112864
5347,0.1381257170036711
5357,0.17363586320730812
5358,0.03548474170042746
6119,0.15873429379674822
6158,0.013710237037913143
6248,0.06871598282198976
6292,0.031405101519584866
6400,0.016422178630958788
6402,0.04733480374081376
6409,0.08031482052586966
6417,0.11606035315050385
6426,0.018010191622254302
7184,0.2332859904060236
7263,0.02859884394972948
7313,0.2049989496623447
7357,0.02116247988564563
7466,0.01274174114712202
7469,0.08569264754948
7470,0.011976574389023059
7473,0.16297459124724686
7491,0.03785246930714158
7500,0.023894753978876426
8263,0.2314736778643463
8349,0.011393159045614805
8391,0.17785302159036387
8429,0.05777019860531379
8536,0.01849317615679855
8541,0.08367606738409171
8543,0.15216349037800386
8555,0.043291704924215364
8568,0.015010370631708791
9377,0.2532067092987043
9423,0.008541769135731856
9465,0.13628403315552548
9502,0.017391779913303262
9609,0.006740792852367219
9611,0.012646981991209585
9614,0.1141885982209654
9626,0.034468555455352816
9634,0.02523493605825013
10433,0.29491289025974365
10483,0.0291764566300718
10525,0.2246050321954972
10563,0.0379671029850293
10674,0.009085231481663585
10677,0.055598556775394006
10679,0.20802247644643346
10687,0.0323999635112443
10698,0.043551697002807685
11495,0.3609680922633501
11541,0.0456682309513014
11587,0.1697637978055146
11626,0.04587226357601649
11735,0.05284506334750453
11737,0.05413821403837971
11740,0.16731818787570987
11752,0.05801616634178928
11760,0.021392307156045745
12586,0.25833537315131266
12625,0.01976837553715974
12666,0.1249632066369971
12707,0.054363945054411535
12818,0.0187900324090558
12821,0.1248364466304084
12823,0.16082414451587435
12832,0.12703849983144527
12854,0.023182654299201518
13671,0.07591054398211669
13711,0.012428874089596241
13754,0.11563399104811857
13791,0.024251479026095847
13895,0.0300224511849586
13898,0.059410002736677625
13901,0.10276176885959733
13907,0.08836334382463902
13922,0.01617893746950382
14248,0.026960869494831775
14729,0.20563255464059632
14768,0.014511448706423909
14814,0.3498347128854408
14961,0.01819597246324417
14966,0.04878844781251408
14967,0.040765203238471
14970,0.3183855279126411
14981,0.04229424432969183
14996,0.014283141555999643
15334,0.023720307693949432
15816,0.17302748649836786
15852,0.015098196383216324
15893,0.10625710095037293
16044,0.016290788129363822
16048,0.11188446630246104
16051,0.09974911735992442
16059,0.043724048788033036
